system   D            wsystem.c:583  maybe_parent_dir                 [   0.00072] Also searching C:\Users\Mr. Mojo Risin\Documents\Visual Studio 2012\Projects\Project2\
display  D   display_settings.c:506  _al_score_display_settings       [   0.58971] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.58973] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.58977] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.58979] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.58982] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.58984] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.58987] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.58990] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.58993] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.58995] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.58998] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.59001] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.59004] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.59006] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.59009] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.59012] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.59015] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.59017] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.59020] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.59022] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.59026] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.59028] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.59031] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.59033] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.59037] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.59039] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.59042] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.59045] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.59048] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.59050] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.59053] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.59056] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.59059] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.59062] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.59065] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.59067] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.59071] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.59073] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.59076] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.59079] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.59082] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.59084] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.59087] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.59090] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.59093] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.59095] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.59098] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.59101] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.59104] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.59106] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.59109] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.59112] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.59115] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.59117] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.59120] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.59123] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.59126] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.59128] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.59131] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.59134] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.59137] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.59140] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.59143] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.59145] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.59149] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.59151] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.59154] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.59157] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
